label,validity,coincidencias_kernel_1,coincidencias_kernel_2,coincidencias_kernel_3,coincidencias_kernel_4
cheque_Alan_01,1,8557,12186,11050,39999
cheque_Alan_02,1,7625,10332,9385,39999
cheque_Alan_03,1,7286,9474,8888,39999
cheque_Alan_04,1,7182,8863,7994,40000
cheque_Alan_05,1,7702,10512,9326,39999
cheque_Alan_06,1,7202,9456,8460,39999
cheque_Alan_07,1,7911,10322,9134,40000
cheque_Alan_08,1,8265,11534,10384,40000
cheque_Alan_09,1,8006,10977,10000,39996
cheque_Alan_10,1,7811,9849,8950,39997
cheque_Alan_11,1,8149,10874,9997,39998
cheque_Alan_12,1,8348,11647,10928,39999
cheque_Alan_13,1,6898,10448,9191,39998
cheque_Alan_14,1,8120,10917,10129,40000
cheque_Alan_15,1,7836,10866,10070,40000
cheque_Alan_01,0,19732,19960,17341,39998
cheque_Alan_02,0,19726,19913,17394,39999
cheque_Alan_03,0,19683,19922,17147,39999
cheque_Alan_04,0,19855,20133,17095,40000
cheque_Alan_05,0,19622,19937,17256,39999
cheque_Alan_06,0,19742,20242,17252,40000
cheque_Alan_07,0,19760,20385,17344,39999
cheque_Alan_08,0,19557,19917,17305,39999
cheque_Alan_09,0,19719,19874,17338,40000
cheque_Alan_10,0,19702,19890,17142,40000
cheque_Alan_11,0,19652,19874,17411,39999
cheque_Alan_12,0,19663,19809,17085,39999
cheque_Alan_13,0,19800,19978,17057,40000
cheque_Alan_14,0,19628,19914,17142,40000
cheque_Alan_15,0,19786,19865,17383,40000
